Route ID,Route Name,Bus Number,Bus Type,Date,Departure Time,Arrival Time,Delay Duration,Passenger Count,Ticket Revenue,Fuel Consumption,Driver ID,Weather Condition,Day Type,Trip Status
R05,West Gate - Tech Park,BUS-287,Standard,2025-03-20,03:30 PM,16:51,13,39.0,3510.0,9.71,D011,Rain,Weekday,Completed
R02,North Station - University,BUS-247,Electric,2025-04-14,11:00,11:44,-4,22.0,1518.0,0.49,D011,Rain,Weekday,Completed
R02,North Station - University,BUS-287,AC,2025-03-12,12:45,13:58,13,27.0,2106.0,14.4 L,D002,Rain,Weekday,Completed
R04,East Suburb - Mall Plaza,BUS-109,mini,2025-01-06,14:30,15:51,8,18.0,1260.0,17.03,D022,Storm,Weekday,Completed
R06,Old Town - Hospital,BUS-295,AC,2025-03-01,07:00 PM,19:50,16,33.0,2145.0,5.15,D025,Clear,Weekend,Completed
R04,East Suburb - Mall Plaza,BUS-165,STD,08/02/2025,05:15 PM,18:13,26,35.0,"Rs 2,450",4.36,D011,Rain,Weekend,Delayed
R02,North Station - University,BUS-251,Standard,2025-02-09,15:30,16:11,6,38.0,2280.0,8.11,D027,clear,Weekend,Completed
R03,Harbor - Downtown,BUS-183,Standard,2025-03-20,08:00,08:50,15,48.0,3840.0,7.25,D025,Rain,Weekday,Delayed
R02,North Station - University,BUS-354,Standard,2025-02-05,02:00 PM,14:59,24,40.0,2400.0,9.31,D026,Cloudy,Weekday,Delayed
R02,North Station - University,BUS-291,Standard,2025-01-10,06:30,08:05,29,23.0,1380.0,8.44 L,D008,Rain,Weekday,Delayed
R01,City Center - Airport,BUS-186,AC,2025-01-22,18:00,19:18,10,36.0,"Rs 5,616",11.26,D033,Cloudy,Weekday,Delayed
R07,Riverside - Stadium,BUS-161,Electric,2025-01-03,08:30,10:09,32,28.0,2415.0,1.41,D037,Clear,Weekday,Delayed
R01,City Center - Airport,BUS-390,Standard,2025-03-25,12:45,14:03,11,47.0,5640.0,15.07,D013,Rain,Weekday,Completed
R02,North Station - University,BUS-274,AC,2025-02-02,15:15,16:07,4,35.0,2730.0,8.66,,Clear,Weekend,Completed
R06,Old Town - Hospital,BUS-319,Mini,2025-01-07,17:00,18:25,17,25.0,1250.0,14.24 L,D037,Rain,Weekday,Completed
R07,Riverside - Stadium,BUS-215,Standard,06/03/2025,09:00,10:20,7,41.0,3075.0,,D013,Rain,Weekday,Completed
R02,North Station - University,BUS-224,Electric,2025-02-28,11:30,12:47,20,,"Rs 1,311",1.47,D039,Rain,Weekday,Completed
R08,South Terminal - Business District,BUS-246,AC,2025-03-22,06:15,06:54,2,32.0,4160.0,5.92,D009,Clear,Weekend,Completed
R01,City Center - Airport,BUS-206,Standard,2025-04-03,07:15,08:14,23,,4800.0,7.72,D025,Fog,Weekday,Delayed
R08,South Terminal - Business District,BUS-284,Standard,2025-01-06,16:45,18:19,31,33.0,3300.0,9.38,D015,Rain,Weekday,Delayed
R08,South Terminal - Business District,BUS-351,Mini,2025-03-09,18:30,19:29,14,18.0,1800.0,9.98,D002,Clear,Weekend,Completed
R08,South Terminal - Business District,BUS-158,Electric,2025-01-05,13:15,14:22,0,,"Rs 2,415",1.23,D013,Clear,Weekend,Cancelled
R01,City Center - Airport,BUS-375,AC,2025-02-25,06:30,07:15,12,27.0,"Rs 4,212",7.11,D032,Clear,Weekday,Completed
R07,Riverside - Stadium,BUS-133,Standard,2025-01-31,19:00,20:02,12,25.0,1875.0,11.57,D002,Clear,Weekday,Completed
R02,North Station - University,BUS-233,AC,24/02/2025,07:15,08:45,18,39.0,3042.0,,D003,Rain,Weekday,Completed
R07,Riverside - Stadium,BUS-330,Standard,2025-01-15,17:30,18:42,23,48.0,3600.0,8.68,D009,Clear,Weekday,Delayed
R07,Riverside - Stadium,BUS-359,Standard,2025-04-24,18:30,19:17,17,48.0,3600.0,4.9,D025,Storm,Weekday,Completed
R07,Riverside - Stadium,BUS-253,AC,2025-04-27,17:00,18:22,-3,27.0,2632.5,12.67,D005,Clear,Weekend,Completed
R03,Harbor - Downtown,BUS-204,Standard,17/01/2025,18:45,19:58,15,49.0,3920.0,9.07,D005,Rain,Weekday,Completed
R02,North Station - University,BUS-345,A/C,2025-03-23,17:45,19:10,13,28.0,2184.0,15.51,D004,Cloudy, Weekend,Completed
R05,West Gate - Tech Park,BUS-379,electric,2025-01-12,17:15,17:56,11,24.0,2484.0,0.26,D013,Clear,Weekend,Cancelled
R01,City Center - Airport,BUS-212,Standard,21/04/2025,03:15 PM,16:18,33,35.0,4200.0,5.19,D038,Cloudy,Weekday,Delayed
R01,City Center - Airport,BUS-268,Standard,2025-03-15,09:30,10:26,17,20.0,2400.0,9.41,D003,,Weekend,Completed
R08,South Terminal - Business District,BUS-265,Standard,15/01/2025,16:00,17:08,23,33.0,3300.0,7.7,D026,Rain,Weekday,Delayed
R01,City Center - Airport,BUS-146,Standard,2025-03-11,09:30,10:49,13,39.0,4680.0,8.64,D035,Rain,Weekday,Completed
R02,North Station - University,BUS-388,Standard,2025-03-01,07:45,08:36,17,37.0,2220.0,,D006,Storm,Weekend,Cancelled
R03,Harbor - Downtown,BUS-101,Electric,2025-03-19,10:15,11:37,7,21.0,1932.0,0.26,D019,Clear,Weekday,Delayed
R02,North Station - University,BUS-318,AC,2025-02-07,06:00,07:02,8,21.0,1638.0,8.03,,Clear,Weekday,Completed
R02,North Station - University,BUS-164,Mini,2025-04-09,06:15,07:23,-7,19.0,1140.0,14.98,D030,Fog,Weekday,Completed
R05,West Gate - Tech Park,BUS-384,Mini,2025-01-22,08:15,09:09,9,18.0,1620.0,9.38 L,D007,Cloudy,Weekday,Delayed
R08,South Terminal - Business District,BUS-199,Standard,16/03/2025,18:00,19:36,21,37.0,3700.0,11.18,D018,Clear,Weekend,Delayed
R06,Old Town - Hospital,BUS-264,AC,2025-02-04,10:00,10:56,22,38.0,2470.0,7.4,D023,rain,Weekday,Delayed
R05,West Gate - Tech Park,BUS-221,standard,08/01/2025,09:45,11:06,22,26.0,2340.0,13.38,D016,Fog,Weekday,Delayed
R01,City Center - Airport,BUS-200,AC,2025-01-22,11:00,11:55,13,25.0,3900.0,7.41,D007,Fog,Weekday,Completed
R05,West Gate - Tech Park,BUS-390,Electric,19/04/2025,13:30,14:16,2,33.0,3415.5,1.78,D022,CLEAR,Weekend,Cancelled
R04,East Suburb - Mall Plaza,BUS-302,Standard,16/04/2025,10:15,11:24,2,46.0,3220.0,10.6,D034,Clear,Weekday,Completed
R06,Old Town - Hospital,BUS-224,AC,2025-04-06,14:00,15:20,7,31.0,2015.0,15.38,D037,Clear,Weekend,Delayed
R05,West Gate - Tech Park,BUS-332,Standard,2025-02-15,06:45 AM,07:59,2,29.0,2610.0,12.45,D009,Cloudy,Weekend,Completed
R05,West Gate - Tech Park,BUS-279,Electric,2025-02-07,07:00,07:50,7,32.0,3312.0,0.48,D023,Clear,Weekday,Completed
R03,Harbor - Downtown,BUS-382,STD,2025-03-31,20:00,21:15,2,41.0,3280.0,13.12,D015,Clear,Weekday,Completed
R03,Harbor - Downtown,BUS-118,Standard,2025-03-15,19:30,20:16,5,30.0,2400.0,7.95,D036,Cloudy,Weekend,Completed
R06,Old Town - Hospital,BUS-340,AC,03/03/2025,09:00,09:59,10,38.0,"Rs 2,470",11.48,D017,Fog,Weekday,Completed
R08,South Terminal - Business District,BUS-181,Standard,2025-04-06,17:00,18:26,15,,3900.0,12.66,D003,,Weekend,Completed
R08,South Terminal - Business District,BUS-356,Electric,2025-04-10,07:15,08:34,13,32.0,3680.0,1.25,D005,Clear,Weekday,Completed
R01,City Center - Airport,BUS-179,Electric,2025-02-28,08:15 AM,09:10,15,40.0,5520.0,0.69,D031,Clear,Weekday,Completed
R04,East Suburb - Mall Plaza,BUS-316,AC,2025-04-26,06:00,06:35,5,38.0,3458.0,7.21,D008,Cloudy,Weekend,Completed
R05,West Gate - Tech Park,BUS-290,Mini,2025-04-11,17:00,18:14,18,21.0,1890.0,9.48,D017,Rain,Weekday,Cancelled
R05,West Gate - Tech Park,BUS-160,Standard,2025-01-31,06:15,06:54,0,30.0,2700.0,9.18,D017,Clear,Weekday,Completed
R06,Old Town - Hospital,BUS-181,Standard,2025-02-12,14:30,15:24,14,47.0,2350.0,10.12,D024,Clear,Weekday,Completed
R03,Harbor - Downtown,BUS-375,AC,2025-03-06,17:45,19:01,11,39.0,4056.0,12.48,D008,Storm,Weekday,Completed
R05,West Gate - Tech Park,BUS-163,AC,2025-01-14,11:15,12:22,25,37.0,"Rs 4,329",,D001,Rain,Weekday,Delayed
R01,City Center - Airport,BUS-278,AC,2025-03-18,07:15,08:05,19,43.0,6708.0,5.21,D014,Clear,Weekday,Completed
R06,Old Town - Hospital,BUS-278,Standard,2025-03-07,08:30,09:41,17,,2350.0,12.41 L,D016,Clear,Weekday,Completed
R06,Old Town - Hospital,BUS-349,Standard,2025-01-30,20:00,21:04,10,25.0,1250.0,9.45,D015,Cloudy,Weekday,Completed
R03,Harbor - Downtown,BUS-148,Standard,25/04/2025,17:30,18:51,17,46.0,3680.0,13.99,D038,Clear,Weekday,Completed
R06,Old Town - Hospital,BUS-171,Electric,2025-01-17,15:00,15:49,3,38.0,2185.0,1.13,D015,Cloudy,Weekday,Completed
R01,City Center - Airport,BUS-346,Mini,2025-03-28,06:15,07:13,11,24.0,"Rs 2,880",12.96,D008,Storm,Weekday,Completed
R04,East Suburb - Mall Plaza,BUS-143,AC,2025-04-08,05:30 PM,18:41,17,41.0,3731.0,10.62,D029,,Weekday,Completed
R05,West Gate - Tech Park,BUS-229,Standard,2025-03-01,18:45,20:05,15,34.0,3060.0,13.89,D031,Rain,Weekend,Completed
R08,South Terminal - Business District,BUS-148,Standard,2025-01-13,17:30,18:27,12,40.0,4000.0,9.87 L,D033,Fog,Weekday,Completed
R01,City Center - Airport,BUS-248,AC,2025-03-14,09:30,10:05,0,32.0,4992.0,6.84,,Clear,Weekday,Completed
R04,East Suburb - Mall Plaza,BUS-397,AC,2025-01-08,06:45,07:26,6,26.0,2366.0,7.79,D023,Cloudy,Weekday,Delayed
R03,Harbor - Downtown,BUS-221,AC,2025-01-23,07:30,08:20,10,44.0,4576.0,8.7,D019,Clear,Weekday,Completed
R03,Harbor - Downtown,BUS-197,Standard,26/02/2025,06:30,07:37,21,39.0,3120.0,10.01,D012,Fog,Weekday,Delayed
R07,Riverside - Stadium,BUS-243,AC,2025-03-21,08:45,09:46,21,39.0,3802.5,7.19,D009,Rain,Weekday,Delayed
R07,Riverside - Stadium,BUS-304,Standard,2025-01-13,20:15,21:08,1,20.0,1500.0,10.72,D033,Clear,Weekday,Completed
R03,Harbor - Downtown,BUS-163,Mini,2025-04-09,03:30 PM,16:20,3,24.0,1920.0,7.49,D008,Clear,Weekday,Completed
R07,Riverside - Stadium,BUS-123,Standard,2025-02-22,18:30,19:25,17,41.0,3075.0,7.93,D025,Clear,Weekend,Delayed
R06,Old Town - Hospital,BUS-249,Electric,2025-04-27,17:15,18:26,20,29.0,1667.5,0.44,D040,Fog,Weekend,Completed
R04,East Suburb - Mall Plaza,BUS-232,Standard,2025-01-16,17:00,17:47,7,40.0,2800.0,7.76,D027,Cloudy,Weekday,Completed
R02,North Station - University,BUS-122,Standard,2025-03-26,17:30,18:36,6,46.0,2760.0,13.5,D029,Clear,WEEKDAY,Completed
R03,Harbor - Downtown,BUS-129,Mini,2025-03-05,05:15,06:26,8,21.0,1680.0,12.36,D017,Rain,Weekday,Delayed
R08,South Terminal - Business District,BUS-175,Standard,2025-04-04,14:00,15:00,6,26.0,2600.0,9.99,D013,Clear,Weekday,Completed
R06,Old Town - Hospital,BUS-380,STD,2025-03-10,18:15,19:31,13,37.0,1850.0,,D036,Fog,Weekday,Completed
R02,North Station - University,BUS-167,Std,2025-01-20,16:30,17:36,0,50.0,3000.0,9.45,D019,,Weekday,Completed
R02,North Station - University,BUS-267,AC,2025-02-17,11:45,12:48,21,37.0,2886.0,7.35,D022,,Weekday,Delayed
R07,Riverside - Stadium,BUS-133,Electric,2025-03-30,17:30,18:59,15,25.0,2156.25,0.85,D028,Rain,Weekend,Completed
R06,Old Town - Hospital,BUS-106,Standard,2025-02-20,19:15,20:30,22,45.0,"Rs 2,250",10.87,D011,Cloudy,Weekday,Delayed
R01,City Center - Airport,BUS-247,AC,2025-02-04,02:45 PM,15:28,6,30.0,"Rs 4,680",9.24,D010,Clear,Weekday,Cancelled
R08,South Terminal - Business District,BUS-263,Standard,2025-03-20,14:30,15:22,5,32.0,3200.0,10.83,D013,Cloudy,Weekday,Cancelled
R04,East Suburb - Mall Plaza,BUS-320,Mini,2025-02-03,19:45,20:52,18,16.0,1120.0,10.81,D015,Rain,Weekday,Completed
R01,City Center - Airport,BUS-198,Standard,2025-03-15,13:30,14:23,14,29.0,3480.0,9.92,D037,Fog,Weekend,Completed
R04,East Suburb - Mall Plaza,BUS-385,Electric,2025-01-11,17:00,17:51,15,30.0,2415.0,0.46,D037,Clear,Weekend,Completed
R05,West Gate - Tech Park,BUS-279,A/C,19/01/2025,13:30,14:50,9,36.0,4212.0,9.35,D020,Fog, Weekend,Completed
R05,West Gate - Tech Park,BUS-143,Electric,22/01/2025,17:45,18:23,8,33.0,3415.5,0.08,D027,Clear,Weekday,Completed
R08,South Terminal - Business District,BUS-261,AC,2025-01-01,18:30,19:21,20,36.0,"Rs 4,680",6.21,D033,Rain,Weekday,Completed
R01,City Center - Airport,BUS-242,Electric,2025-02-23,07:45,09:09,20,,3588.0,0.21,D010,Rain,Weekend,Completed
R03,Harbor - Downtown,BUS-309,Electric,2025-01-23,19:45,20:20,2,,2024.0,1.88,D006,Cloudy,Weekday,Cancelled
R08,South Terminal - Business District,BUS-267,Standard,2025-04-11,14:15,15:25,9,34.0,3400.0,10.88,D007,Clear,Weekday,Completed
R06,Old Town - Hospital,BUS-166,AC,2025-04-25,15:00,15:53,6,19.0,1235.0,11.11,D012,Clear,Weekday,Completed
R01,City Center - Airport,BUS-374,ac,2025-03-19,16:30,17:08,1,34.0,5304.0,5.82,D026,Clear,Weekday,Completed
R03,Harbor - Downtown,BUS-249,Standard,2025-01-30,05:30,06:39,9,30.0,"Rs 2,400",13.95,D008,Fog,Weekday,Completed
R08,South Terminal - Business District,BUS-125,Standard,2025-03-17,16:30,17:55,31,48.0,4800.0,11.68,D019,Rain,Weekday,Delayed
R02,North Station - University,BUS-371,Standard,2025-04-01,06:15,06:54,2,47.0,2820.0,7.57,D002,Clear,Weekday,Completed
R03,Harbor - Downtown,BUS-390,Standard,2025-04-08,18:15,19:09,7,47.0,3760.0,8.12,D001,Clear,Weekday,Completed
R04,East Suburb - Mall Plaza,BUS-325,AC,09/04/2025,15:45,16:31,10,28.0,2548.0,,D029,Clear,Weekday,Completed
R06,Old Town - Hospital,BUS-340,A/C,2025-03-31,15:45,16:59,10,24.0,1560.0,11.15,D027,,WEEKDAY,Completed
R05,West Gate - Tech Park,BUS-108,AC,2025-04-14,17:30,18:34,20,41.0,4797.0,11.16,D011,Rain,Weekday,Completed
R03,Harbor - Downtown,BUS-157,AC,03/02/2025,13:45,14:53,14,23.0,2392.0,9.52,D018,Rain,WEEKDAY,Cancelled
R03,Harbor - Downtown,BUS-236,Standard,2025-03-20,07:00,08:27,19,40.0,3200.0,15.16,D031,Rain,Weekday,Completed
R02,North Station - University,BUS-155,Standard,2025-01-18,17:30,18:50,19,30.0,1800.0,13.01,D038,Storm,Weekend,Cancelled
R05,West Gate - Tech Park,BUS-293,MINI,2025-04-05,19:45,20:42,0,21.0,1890.0,11.81,D015,Cloudy,Weekend,Cancelled
R02,North Station - University,BUS-138,AC,2025-04-26,06:15 PM,19:45,19,37.0,2886.0,13.61,D015,Rain,Weekend,Completed
R03,Harbor - Downtown,BUS-375,AC,2025-03-06,17:45,19:01,11,39.0,4056.0,12.48,D008,Storm,Weekday,Completed
R07,Riverside - Stadium,BUS-279,AC,2025-02-17,10:30,11:40,21,43.0,4192.5,11.56,D015,Clear,Weekday,Delayed
R06,Old Town - Hospital,BUS-230,Mini,2025-04-12,02:45 PM,15:49,-2,19.0,950.0,12.51,D005,Clear,Weekend,Completed
R04,East Suburb - Mall Plaza,BUS-189,Standard,2025-04-29,06:30,07:47,3,40.0,2800.0,13.38,D023,clear,Weekday,Completed
R08,South Terminal - Business District,BUS-275,Mini,2025-01-08,03:15 PM,16:04,10,10.0,1000.0,6.97,D013,Clear,Weekday,Completed
R06,Old Town - Hospital,BUS-240,Mini,2025-03-25,11:45 AM,12:56,18,23.0,1150.0,10.33,D033,Rain,Weekday,Completed
R03,Harbor - Downtown,BUS-220,Standard,2025-02-20,17:45,18:57,20,43.0,3440.0,6.61,,Rain,Weekday,Completed
R02,North Station - University,BUS-192,Standard,2025-04-22,15:15,16:28,18,26.0,1560.0,11.65,D016,Fog,weekday,Completed
R04,East Suburb - Mall Plaza,BUS-179,Standard,2025-04-01,17:30,18:38,12,45.0,3150.0,12.46,D018,Clear,Weekday,Completed
R04,East Suburb - Mall Plaza,BUS-295,AC,2025-01-13,18:30,19:18,11,36.0,3276.0,5.69 L,D023,Cloudy,Weekday,Completed
R05,West Gate - Tech Park,BUS-373,Mini,12/01/2025,08:15,09:32,10,,1800.0,8.13 L,D035,Clear,Weekend,Completed
R01,City Center - Airport,BUS-210,Electric,2025-03-01,08:15,08:58,13,30.0,4140.0,0.18,D025,clear,Weekend,Completed
R06,Old Town - Hospital,BUS-199,Standard,2025-03-10,08:30,09:52,34,40.0,2000.0,9.86 L,D007,Rain,Weekday,Delayed
R05,West Gate - Tech Park,BUS-168,Standard,2025-03-12,15:30,16:16,-1,23.0,2070.0,7.49 L,D023,Clear,Weekday,Completed
R07,Riverside - Stadium,BUS-317,Standard,2025-02-14,17:30,18:46,11,44.0,3300.0,11.79,D013,Rain,Weekday,Delayed
R06,Old Town - Hospital,BUS-285,Standard,2025-04-14,07:15,08:29,7,48.0,2400.0,,D004,Clear,Weekday,Completed
R07,Riverside - Stadium,BUS-154,AC,2025-04-07,06:30,07:18,5,34.0,3315.0,5.22,D004,Rain,Weekday,Completed
R03,Harbor - Downtown,BUS-385,Standard,2025-04-06,05:00,06:10,14,34.0,2720.0,11.33 L,D008,Cloudy,Weekend,Completed
R03,Harbor - Downtown,BUS-108,AC,2025-02-25,11:45,12:43,9,30.0,3120.0,11.64,D037,rain,Weekday,Completed
R06,Old Town - Hospital,BUS-106,Std,2025-03-30,07:15 PM,20:25,1,32.0,"Rs 1,600",13.27,D027,,Weekend,Delayed
R02,North Station - University,BUS-360,Electric,2025-03-15,10:15,11:08,11,16.0,1104.0,0.79,D029,Clear,Weekend,Completed
R05,West Gate - Tech Park,BUS-392,Standard,2025-03-31,07:15,08:18,14,36.0,3240.0,10.27,D012,Clear,Weekday,Completed
R06,Old Town - Hospital,BUS-193,AC,2025-03-31,09:45 AM,10:36,3,,1625.0,11.4,D008,Clear,Weekday,Completed
R01,City Center - Airport,BUS-263,AC,28/04/2025,11:30,12:28,18,42.0,6552.0,8.48,D026,Clear,Weekday,Completed
R06,Old Town - Hospital,BUS-145,Standard,2025-02-23,08:45,09:30,10,38.0,1900.0,6.7,D001,Rain, Weekend,Completed
R07,Riverside - Stadium,BUS-189,Electric,2025-03-21,12:30,13:17,6,27.0,2328.75,0.12,,Clear,Weekday,Completed
R03,Harbor - Downtown,BUS-116,Electric,2025-04-11,05:30,06:30,1,24.0,2208.0,1.61 L,D010,Clear,Weekday,Delayed
R03,Harbor - Downtown,BUS-395,AC,2025-01-10,14:30,15:30,22,21.0,"Rs 2,184",8.19,D002,Rain,Weekday,Delayed
R04,East Suburb - Mall Plaza,BUS-106,standard,2025-03-20,13:00,14:13,6,33.0,2310.0,12.57,D022,Clear,Weekday,Cancelled
R05,West Gate - Tech Park,BUS-308,Standard,2025-02-02,16:45,18:00,11,36.0,3240.0,12.44,D022,Rain,Weekend,Completed
R05,West Gate - Tech Park,BUS-259,Standard,2025-03-24,20:30,21:36,1,28.0,2520.0,15.04,D037,Cloudy,WEEKDAY,Completed
R06,Old Town - Hospital,BUS-279,Standard,2025-04-25,08:30 PM,21:10,0,37.0,1850.0,10.53,D021,Clear,Weekday,Cancelled
R04,East Suburb - Mall Plaza,BUS-387,AC,2025-01-25,06:00,07:22,8,37.0,3367.0,14.35,D006,Rain,Weekend,Completed
R02,North Station - University,BUS-368,AC,2025-04-22,09:45,10:28,5,26.0,2028.0,6.21,D027,Clear, Weekday,Completed
R07,Riverside - Stadium,BUS-332,Electric,2025-04-15,11:00,11:51,2,37.0,3191.25,0.78,D019,Cloudy,Weekday,Completed
R01,City Center - Airport,BUS-389,AC,2025-02-10,08:45,10:09,10,32.0,4992.0,11.36,D040,Clear,Weekday,Completed
R05,West Gate - Tech Park,BUS-129,Standard,2025-02-27,21:15,22:35,6,44.0,3960.0,13.62,D033,Clear,Weekday,Delayed
R06,Old Town - Hospital,BUS-372,AC,2025-01-21,21:30,22:08,5,22.0,1430.0,7.3,D035,Clear,Weekday,Completed
R05,West Gate - Tech Park,BUS-200,Electric,2025-04-04,17:30,18:47,18,34.0,3519.0,0.02,D028,Rain,Weekday,Completed
R07,Riverside - Stadium,BUS-362,AC,2025-02-04,08:15,09:32,16,,3315.0,11.8,D033,Cloudy,Weekday,Completed
R06,Old Town - Hospital,BUS-274,Mini,2025-04-06,17:45,18:58,17,15.0,Rs 750,9.7,D029,Clear,Weekend,Delayed
R01,City Center - Airport,BUS-149,AC,2025-01-07,15:15,16:32,15,34.0,"Rs 5,304",12.42,D021,Fog,Weekday,Completed
R02,North Station - University,BUS-221,Mini,2025-04-02,18:45,19:53,7,24.0,1440.0,15.59,D015,Clear,Weekday,Completed
R05,West Gate - Tech Park,BUS-282,Mini,2025-03-04,14:30,15:47,19,,1350.0,12.65,D002,Fog,Weekday,Completed
R01,City Center - Airport,BUS-138,AC,11/04/2025,20:01,19:00,19,37.0,5772.0,8.74,D034,Storm,Weekday,Completed
R04,East Suburb - Mall Plaza,BUS-210,AC,2025-03-20,05:45,06:31,1,20.0,1820.0,7.75,D001,Cloudy,Weekday,Completed
R02,North Station - University,BUS-186,AC,2025-01-23,05:30 AM,06:22,7,35.0,2730.0,8.12,D014,Clear,Weekday,Completed
R07,Riverside - Stadium,BUS-119,Electric,2025-04-22,07:45,09:05,22,31.0,"Rs 2,674",0.76,D005,Clear,Weekday,Delayed
R04,East Suburb - Mall Plaza,BUS-354,Std,2025-02-06,08:15,09:23,18,47.0,3290.0,8.75,D029,Cloudy,Weekday,Completed
R02,North Station - University,BUS-396,Standard,2025-01-30,06:15,06:54,7,50.0,3000.0,7.31 L,D031,Rain,Weekday,Completed
R05,West Gate - Tech Park,BUS-387,Mini,2025-02-22,15:00,16:13,7,11.0,990.0,10.4 L,D034,Fog,Weekend,Completed
R04,East Suburb - Mall Plaza,BUS-303,AC,2025-04-20,08:45,09:36,15,36.0,"Rs 3,276",5.26,D033,Clear,Weekend,Completed
R02,North Station - University,BUS-344,AC,2025-01-31,06:45,08:04,12,36.0,2808.0,,D035,Clear, Weekday,Delayed
R01,City Center - Airport,BUS-352,standard,2025-01-11,13:00,14:06,12,,2760.0,11.01,D030,Fog,Weekend,Completed
R02,North Station - University,BUS-253,Mini,2025-01-22,18:00,19:29,19,23.0,"Rs 1,380",11.44,D040,Storm,Weekday,Delayed
R08,South Terminal - Business District,BUS-285,Standard,2025-04-18,08:30,09:16,9,40.0,4000.0,7.39,D004,Clear,Weekday,Completed
R08,South Terminal - Business District,BUS-287,AC,2025-03-15,17:30,18:27,6,,"Rs 4,810",8.17,D006,Clear,Weekend,Completed
R08,South Terminal - Business District,BUS-158,electric,2025-02-15,17:00,18:00,23,31.0,3565.0,0.01,D011,Rain,Weekend,Delayed
R02,North Station - University,BUS-375,Standard,2025-02-16,17:45,18:36,12,30.0,1800.0,7.88,D024,Clear,Weekend,Completed
R08,South Terminal - Business District,BUS-105,AC,2025-01-21,20:15,21:31,9,33.0,4290.0,10.62,D029,Cloudy,Weekday,Completed
R03,Harbor - Downtown,BUS-132,Standard,2025-03-18,09:00 AM,09:33,2,44.0,3520.0,8.43,D017,Clear,Weekday,Completed
R04,East Suburb - Mall Plaza,BUS-132,Standard,2025-02-24,13:45,14:22,4,38.0,2660.0,7.87 L,D023,Cloudy,Weekday,Delayed
R08,South Terminal - Business District,BUS-376,Mini,2025-04-26,13:15,14:18,9,12.0,1200.0,9.2,D035,Storm,WEEKEND,Delayed
R03,Harbor - Downtown,BUS-354,AC,2025-04-13,10:00,11:14,8,16.0,1664.0,,D031,Clear,Weekend,Cancelled
R07,Riverside - Stadium,BUS-221,Standard,2025-03-22,16:45,18:02,12,18.0,1350.0,10.85,D033,Rain,Weekend,Completed
R08,South Terminal - Business District,BUS-136,Electric,2025-02-08,09:45,10:39,4,31.0,3565.0,0.9,D006,Cloudy,Weekend,Completed
R02,North Station - University,BUS-288,Electric,2025-01-14,09:30,10:28,1,,2691.0,0.09,D011,Clear,Weekday,Completed
R07,Riverside - Stadium,BUS-339,Standard,2025-01-29,16:15,17:33,9,42.0,3150.0,14.8,D036,Cloudy,Weekday,Completed
R02,North Station - University,BUS-219,AC,2025-01-30,07:45,08:46,9,42.0,3276.0,9.46,D033,Clear,Weekday,Delayed
R05,West Gate - Tech Park,BUS-160,Standard,2025-04-24,06:00,07:05,8,27.0,2430.0,14.28 L,D007,Clear,Weekday,Delayed
R04,East Suburb - Mall Plaza,BUS-119,AC,2025-03-03,16:00,16:41,2,22.0,2002.0,7.18 L,D035,Cloudy,Weekday,Completed
R04,East Suburb - Mall Plaza,BUS-152,Standard,2025-01-05,07:15,08:32,18,35.0,2450.0,12.99 L,D038,Rain,Weekend,Completed
